setor;cnae_classe;situacao_cadastral;natureza_juridica;grande_empresa;obrigacoes_acessorias;obrigacao_principal;atuacao_fiscal;analise_comparativa;consistencia;comercio_exterior;conformidade;impacto
02002 - Farmacos;47717;Ativa;Entidades empresariais;Sim;0,9488;0,8144;1,0000;0,4444;0,5748;1;0,7895;Moderado
07003 - Cosmetico e Perfumaria;20631;Ativa;Entidades empresariais;Sim;0,9570;0,8194;0,9536;0,5556;0,4805;0,8085;0,7416;Baixo
07004 - Calcados;15106;Ativa;Entidades empresariais;Sim;0,9991;0,6508;1,0000;0,4444;0,8735;0,8871;0,8532;Alto
10002 - Bens de Capital - Comercio e Servicos;46613;Ativa;Entidades empresariais;Sim;0,9738;0,9952;1,0000;0,4444;0,8825;1;0,906;Moderado
09001 - Educacao;85937;Ativa;Entidades sem fins lucrativos;Sim;0,9752;1,0000;1,0000;0,5556;0,9677;1;0,9434;Muito Baixo
02006 - Defensivos agricolas, adubos e fertilizantes;20134;Ativa;Entidades empresariais;Sim;0,8985;0,7519;0,7289;0,6667;0,8874;0,5998;0,777;Muito Alto
10001 - Textil;14118;Ativa;Entidades empresariais;Sim;0,9830;0,7654;0,4687;0,5556;0,7579;0,719;0,6762;Moderado
11006 - Vigilancia, seguranca e investigacao - Servicos;80111;Ativa;Entidades empresariais;Sim;0,9927;0,8668;1,0000;0,6667;0,6536;1;0,846;Muito Baixo
01000 - Instituicoes Financeiras e de Seguros;64361;Ativa;Entidades empresariais;Sim;0,8871;1,0000;1,0000;0,5556;0,9875;1;0,9405;Muito Baixo
03005 - Construcao - Servicos;43215;Ativa;Entidades empresariais;Sim;0,8865;0,6974;0,8365;0,4444;0,498;1;0,7004;Baixo
07004 - Calcados;15106;Ativa;Entidades empresariais;Sim;0,9399;0,6302;0,9733;0,4444;0,8393;0,8832;0,8267;Muito Baixo
06004 - Alimentos Processados;10937;Ativa;Entidades empresariais;Sim;0,9843;0,9976;0,9933;0,6667;0,6512;0,7302;0,8313;Baixo
02005 - Sucroalcooleiro;01130;Ativa;Entidades empresariais;Sim;0,9133;0,8999;0,8317;0,4444;0,9658;0,9286;0,8592;Muito Baixo
02004 - Fabricacao de Borracha;22234;Ativa;Entidades empresariais;Sim;0,9793;0,8169;0,8667;0,4444;0,8549;0,8839;0,8279;Alto
08002 - Transporte Aereo e Gestao de Aeroportos;51111;Ativa;Entidades empresariais;Sim;0,6850;0,9995;0,9217;0,6667;0,5306;0,7116;0,7435;Moderado
03005 - Construcao - Servicos;81214;Ativa;Entidades empresariais;Sim;0,9761;0,5146;0,8933;0,5556;0,7327;1;0,7849;Alto
05001 - Metalurgia e Siderurgia;38319;Ativa;Entidades empresariais;Sim;0,8981;0,8886;1,0000;0,4444;0,9038;1;0,892;Muito Alto
04002 - Eletroeletronicos;27597;Ativa;Entidades empresariais;Sim;0,9650;0,9497;1,0000;0,6667;0,9067;0,7331;0,9025;Moderado
06003 - Pecuaria, carnes, leites e derivados;10520;Ativa;Entidades empresariais;Sim;0,9833;0,7128;0,9936;0,4444;0,5516;1;0,772;Moderado
07003 - Cosmetico e Perfumaria;46460;Ativa;Entidades empresariais;Sim;0,9732;0,8227;0,7967;0,6667;0,5767;1;0,7588;Alto
11002 - Meios de Pagamento, Ticket Alimentacao, Programa de Fidelidade;46494;Ativa;Entidades empresariais;Sim;0,9826;0,9317;0,9500;0,4444;0,8964;1;0,8894;Alto
05004 - Fabricacao e comercio de prod. de metal;25136;Ativa;Entidades empresariais;Sim;0,8243;0,8284;1,0000;0,5556;0,5457;1;0,7811;Baixo
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,9503;0,7342;0,7667;0,5973;0,4563;1;0,6944;Baixo
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;0,9678;0,9905;0,8967;0,5556;0,9859;1;0,918;Baixo
07003 - Cosmetico e Perfumaria;20631;Ativa;Entidades empresariais;Sim;0,7183;0,8135;0,7507;0,4444;0,6845;0,8545;0,7149;Muito Alto
10004 - Papel e Celulose;02306;Ativa;Entidades empresariais;Sim;0,9256;0,9989;1,0000;0,6005;0,6914;0,6429;0,8242;Moderado
10000 - Industria em Geral;32400;Ativa;Entidades empresariais;Sim;0,9626;0,9999;1,0000;0,6667;0,9171;0,8841;0,9265;Baixo
03004 - Construcao - Obras de Infra-estrutura;42928;Ativa;Entidades empresariais;Sim;1,0000;0,7494;1,0000;0,4444;0,5357;1;0,7751;Baixo
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9988;0,8049;1,0000;0,5556;0,6714;1;0,8334;Muito Baixo
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,9718;0,8099;1,0000;0,4444;0,5751;1;0,7913;Muito Alto
10003 - Bens de Capital;28127;Ativa;Entidades empresariais;Sim;0,8111;0,9998;0,9857;0,4691;0,9868;0,7003;0,8901;Moderado
11006 - Vigilancia, seguranca e investigacao - Servicos;81117;Ativa;Entidades empresariais;Sim;0,9848;0,8929;0,6667;0,4444;0,4492;1;0,6715;Moderado
07003 - Cosmetico e Perfumaria;46460;Ativa;Entidades empresariais;Sim;0,8707;0,8542;0,7922;0,4444;0,6335;0,9834;0,7442;Muito Alto
08000 - Transporte Terrestre e Logistica;49302;Ativa;Entidades empresariais;Sim;0,9618;0,9224;1,0000;0,6667;0,8292;1;0,9023;Alto
03004 - Construcao - Obras de Infra-estrutura;42111;Ativa;Entidades empresariais;Sim;0,9073;0,7725;0,9606;0,4444;0,4798;1;0,7408;Baixo
02004 - Fabricacao de Borracha;22226;Ativa;Entidades empresariais;Sim;0,9736;0,9620;0,9703;0,6667;0,9139;0,703;0,8956;Alto
06003 - Pecuaria, carnes, leites e derivados;46346;Ativa;Entidades empresariais;Sim;0,9454;1,0000;1,0000;0,4444;0,6756;0,9607;0,8377;Baixo
09000 - Saude;72100;Ativa;Entidades empresariais;Sim;0,9245;0,9953;1,0000;0,6667;0,6875;0,6687;0,8317;Muito Baixo
04003 - Imprensa e Cultura;60225;Ativa;Entidades empresariais;Sim;0,9919;1,0000;1,0000;0,4444;0,9864;1;0,9396;Muito Alto
08001 - Automoveis;29492;Ativa;Entidades empresariais;Sim;0,8813;0,8481;0,9340;0,6667;0,787;0,8115;0,8353;Muito Alto
02008 - Comercio varejista de combustiveis;47318;Ativa;Entidades empresariais;Sim;0,9815;0,7828;0,9933;0,5556;0,5392;1;0,7875;Moderado
05002 - Cimento, ceramicas e revestimentos;23915;Ativa;Entidades empresariais;Sim;0,8976;0,9191;1,0000;0,4444;0,6874;0,8099;0,8117;Moderado
05002 - Cimento, ceramicas e revestimentos;23427;Ativa;Entidades empresariais;Sim;0,9807;0,7992;1,0000;0,6667;0,6555;0,8206;0,8194;Moderado
03006 - Construcao - Comercio;47440;Ativa;Entidades empresariais;Sim;0,9451;0,9344;1,0000;0,4444;0,6048;1;0,8125;Baixo
04002 - Eletroeletronicos;26400;Ativa;Entidades empresariais;Sim;0,8399;0,9450;0,8564;0,6004;0,9317;0,787;0,8554;Muito Alto
02002 - Farmacos;46443;Ativa;Entidades empresariais;Sim;0,5105;0,9998;0,9933;0,6667;0,9056;1;0,8875;Muito Alto
07001 - Supermercados;47113;Ativa;Entidades empresariais;Sim;0,9397;1,0000;1,0000;0,4444;0,8991;1;0,9081;Moderado
11002 - Meios de Pagamento, Ticket Alimentacao, Programa de Fidelidade;82997;Ativa;Entidades empresariais;Sim;0,9759;1,0000;1,0000;0,4730;0,9738;1;0,937;Muito Baixo
05004 - Fabricacao e comercio de prod. de metal;25993;Ativa;Entidades empresariais;Sim;0,7182;0,8829;0,8712;0,6667;0,8122;0,7023;0,8023;Alto
06001 - Producao e comercio agricola;01415;Ativa;Entidades empresariais;Sim;0,9856;1,0000;1,0000;0,4444;0,6446;1;0,8364;Moderado
06004 - Alimentos Processados;46397;Ativa;Entidades empresariais;Sim;0,9448;0,9864;0,8620;0,4444;0,9742;0,8233;0,8732;Alto
07002 - Varejistas;47547;Ativa;Entidades empresariais;Sim;0,9712;0,9189;1,0000;0,4444;0,5451;1;0,7954;Moderado
02005 - Sucroalcooleiro;19314;Ativa;Entidades empresariais;Sim;0,9416;0,6875;0,9500;0,4444;0,8036;1;0,8282;Muito Baixo
09000 - Saude;86101;Ativa;Entidades sem fins lucrativos;Sim;0,9970;0,9881;1,0000;0,5204;0,9613;0,7461;0,9133;Moderado
06000 - Bebidas - Alcoolicas;46354;Ativa;Entidades empresariais;Sim;0,8721;0,9991;0,9667;0,5604;0,822;1;0,8804;Moderado
02008 - Comercio varejista de combustiveis;47318;Ativa;Entidades empresariais;Sim;0,9616;0,9999;0,8571;0,6667;0,529;1;0,7815;Muito Baixo
06004 - Alimentos Processados;46371;Ativa;Entidades empresariais;Sim;0,9668;1,0000;1,0000;0,4444;0,9694;0,954;0,9273;Alto
02001 - Quimicos - Fabricacao;20401;Ativa;Entidades empresariais;Sim;0,9853;0,7715;0,9997;0,4444;0,8651;0,8157;0,8566;Baixo
01000 - Instituicoes Financeiras e de Seguros;64247;Ativa;Entidades empresariais;Sim;0,9895;1,0000;1,0000;0,5476;0,7045;1;0,8651;Moderado
07002 - Varejistas;47539;Ativa;Entidades empresariais;Sim;0,8994;0,8999;0,9933;0,4444;0,6153;1;0,8051;Moderado
02001 - Quimicos - Fabricacao;72100;Ativa;Entidades empresariais;Sim;0,8712;0,9735;0,9716;0,6667;0,919;0,7875;0,8971;Alto
10004 - Papel e Celulose;17338;Ativa;Entidades empresariais;Sim;0,9927;0,9519;1,0000;0,6667;0,9866;0,8372;0,9399;Alto
07002 - Varejistas;46427;Ativa;Entidades empresariais;Sim;0,9219;0,9478;0,8000;0,4444;0,4912;0,7436;0,6961;Moderado
06001 - Producao e comercio agricola;01156;Ativa;Entidades empresariais;Sim;0,9198;0,6789;0,8217;0,5556;0,6622;0,6951;0,7273;Muito Alto
02002 - Farmacos;82113;Ativa;Entidades empresariais;Sim;0,9640;0,9754;0,9217;0,4444;0,7274;0,7058;0,8048;Alto
02001 - Quimicos - Fabricacao;20193;Ativa;Entidades empresariais;Sim;0,9578;0,9809;0,9563;0,5556;0,9628;0,7922;0,9049;Muito Alto
11000 - Teleatendimento e Selecao, agenciamento e locacao de mao de obra;78302;Ativa;Entidades empresariais;Sim;0,9848;0,9679;1,0000;0,4867;0,6097;1;0,8262;Baixo
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9115;0,8137;1,0000;0,4444;0,5509;1;0,7785;Baixo
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,8660;0,7135;1,0000;0,4860;0,7341;1;0,8211;Alto
06000 - Bebidas - Alcoolicas;46354;Ativa;Entidades empresariais;Sim;0,9968;0,9995;0,9710;0,4444;0,9396;1;0,9178;Moderado
11003 - Atividades profissionais, cientificas e tecnicas;70204;Ativa;Entidades sem fins lucrativos;Sim;0,9440;1,0000;0,9700;0,4444;0,9382;1;0,9119;Muito Alto
02001 - Quimicos - Fabricacao;20142;Ativa;Entidades empresariais;Sim;0,9156;0,9312;0,7221;0,6667;0,6206;0,7557;0,7339;Muito Alto
09001 - Educacao;85325;Ativa;Entidades sem fins lucrativos;Sim;0,8182;1,0000;1,0000;0,4444;0,699;1;0,836;Alto
11006 - Vigilancia, seguranca e investigacao - Servicos;80111;Ativa;Entidades empresariais;Sim;0,9178;0,7162;1,0000;0,4444;0,602;1;0,7828;Moderado
11000 - Teleatendimento e Selecao, agenciamento e locacao de mao de obra;78302;Ativa;Entidades empresariais;Sim;0,9393;0,3589;0,9175;0,2222;0,4524;1;0,6518;Muito Baixo
01000 - Instituicoes Financeiras e de Seguros;66126;Ativa;Entidades empresariais;Sim;0,9837;0,9990;1,0000;0,6667;0,6047;1;0,8463;Muito Baixo
04000 - Telecomunicacoes;61108;Ativa;Entidades empresariais;Sim;0,9990;0,9240;1,0000;0,6667;0,9169;1;0,9325;Alto
03005 - Construcao - Servicos;81214;Ativa;Entidades empresariais;Sim;0,9383;0,4791;0,9889;0,5556;0,5824;1;0,7585;Muito Baixo
11007 - Igrejas e Associacoes;94308;Ativa;Entidades sem fins lucrativos;Sim;0,7984;0,9981;0,9758;0,6356;0,4965;1;0,7853;Moderado
06001 - Producao e comercio agricola;72100;Ativa;Entidades empresariais;Sim;0,8359;1,0000;1,0000;0,6137;0,947;0,7106;0,9001;Muito Alto
06003 - Pecuaria, carnes, leites e derivados;64620;Ativa;Entidades empresariais;Sim;0,9739;0,7878;0,7667;0,4444;0,8414;1;0,8035;Muito Alto
08002 - Transporte Aereo e Gestao de Aeroportos;52401;Ativa;Entidades empresariais;Sim;0,8387;0,9893;0,9030;0,6667;0,9614;0,7943;0,8899;Muito Alto
08001 - Automoveis;28402;Ativa;Entidades empresariais;Sim;0,9220;0,9362;1,0000;0,5556;0,7908;0,8389;0,8612;Alto
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;0,9067;0,9453;0,9485;0,4444;0,9042;1;0,8854;Muito Alto
02004 - Fabricacao de Borracha;22226;Ativa;Entidades empresariais;Sim;0,9789;0,9467;1,0000;0,6667;0,6871;0,847;0,849;Baixo
03004 - Construcao - Obras de Infra-estrutura;68226;Ativa;Entidades empresariais;Sim;0,9563;0,8503;1,0000;0,6667;0,833;1;0,8942;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;64239;Ativa;Entidades empresariais;Sim;0,8379;0,9555;0,8005;0,6667;0,7915;1;0,8267;Muito Alto
01002 - Planos de Saude;65502;Ativa;Entidades empresariais;Sim;0,8856;1,0000;1,0000;0,6667;0,682;1;0,8598;Baixo
02004 - Fabricacao de Borracha;22196;Ativa;Entidades empresariais;Sim;0,9245;0,8992;0,9440;0,6010;0,6196;0,7912;0,7898;Alto
11007 - Igrejas e Associacoes;94308;Ativa;Entidades sem fins lucrativos;Sim;0,9728;0,9596;1,0000;0,4444;0,779;1;0,8706;Muito Baixo
01000 - Instituicoes Financeiras e de Seguros;65413;Ativa;Entidades sem fins lucrativos;Sim;0,9580;1,0000;1,0000;0,6667;0,971;1;0,9538;Muito Baixo
04003 - Imprensa e Cultura;91023;Ativa;Entidades sem fins lucrativos;Sim;0,9078;0,9991;1,0000;0,6667;0,9554;0,8571;0,9297;Muito Baixo
03001 - Construcao - Edificios;41107;Ativa;Entidades empresariais;Sim;0,8872;0,9429;1,0000;0,6667;0,6546;0,8571;0,8306;Moderado
02005 - Sucroalcooleiro;10716;Ativa;Entidades empresariais;Sim;0,9224;0,7951;0,9399;0,6667;0,8994;0,9286;0,8802;Alto
10003 - Bens de Capital;46494;Ativa;Entidades empresariais;Sim;0,8933;0,9122;1,0000;0,6667;0,8764;0,9902;0,9074;Moderado
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9630;0,8240;0,9547;0,5187;0,9736;1;0,9064;Moderado
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,9918;0,8090;0,8267;0,4444;0,6008;1;0,7524;Moderado
07003 - Cosmetico e Perfumaria;46460;Ativa;Entidades empresariais;Sim;0,8887;0,9463;0,9250;0,4547;0,6726;1;0,8087;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;64620;Ativa;Entidades empresariais;Sim;0,9304;0,9991;1,0000;0,6667;0,9377;1;0,9409;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;65413;Ativa;Entidades sem fins lucrativos;Sim;0,9944;0,8571;1,0000;0,5113;0,9041;1;0,9047;Muito Baixo
06000 - Bebidas - Alcoolicas;46354;Ativa;Entidades empresariais;Sim;0,9203;0,7546;1,0000;0,6667;0,474;1;0,7715;Baixo
02004 - Fabricacao de Borracha;22226;Ativa;Entidades empresariais;Sim;0,9003;0,9867;1,0000;0,6667;0,9345;0,8564;0,9211;Baixo
08000 - Transporte Terrestre e Logistica;77110;Ativa;Entidades empresariais;Sim;0,9136;0,9759;0,9310;0,6667;0,9835;1;0,9309;Alto
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;0,8058;0,9999;0,8637;0,4604;0,6674;0,6421;0,7529;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;65413;Ativa;Entidades sem fins lucrativos;Sim;0,8483;0,8513;1,0000;0,5251;0,9617;1;0,908;Muito Alto
10003 - Bens de Capital;27210;Ativa;Entidades empresariais;Sim;0,9560;0,9979;0,9843;0,6667;0,9575;0,788;0,9237;Moderado
06001 - Producao e comercio agricola;84116;Ativa;Entidades empresariais;Sim;0,8812;1,0000;1,0000;0,5963;0,9826;1;0,9425;Muito Alto
10004 - Papel e Celulose;17320;Ativa;Entidades empresariais;Sim;0,9723;1,0000;0,9900;0,6667;0,9524;0,784;0,9252;Baixo
06001 - Producao e comercio agricola;46320;Ativa;Entidades empresariais;Sim;0,9694;1,0000;0,8558;0,4444;0,8548;1;0,8574;Baixo
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,9696;0,9453;1,0000;0,5114;0,6729;1;0,8434;Muito Baixo
11005 - Trading;46931;Ativa;Entidades empresariais;Sim;0,9079;0,7420;1,0000;0,4444;0,5366;0,8439;0,7496;Baixo
08001 - Automoveis;29433;Ativa;Entidades empresariais;Sim;0,7053;0,9436;0,9787;0,6667;0,6227;0,813;0,7926;Alto
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9308;0,9999;0,9843;0,4444;0,5362;1;0,794;Moderado
01000 - Instituicoes Financeiras e de Seguros;64221;Ativa;Entidades empresariais;Sim;0,8956;0,9258;0,9758;0,6591;0,9063;1;0,9117;Muito Alto
03002 - agua e Esgoto;38114;Ativa;Entidades empresariais;Sim;0,9073;0,6335;0,9933;0,5073;0,8763;1;0,8585;Moderado
09001 - Educacao;85317;Ativa;Entidades empresariais;Sim;0,8614;0,8549;0,9467;0,4759;0,6206;1;0,7876;Baixo
10001 - Textil;14126;Ativa;Entidades empresariais;Sim;0,9788;0,7733;1,0000;0,4444;0,6679;0,9934;0,8148;Baixo
04001 - Tecnologia (Software e Comercio);46524;Ativa;Entidades empresariais;Sim;0,9422;0,9527;1,0000;0,6667;0,5207;0,7952;0,7909;Baixo
02004 - Fabricacao de Borracha;38327;Ativa;Entidades empresariais;Sim;0,9481;0,6783;1,0000;0,5556;0,5672;0,9286;0,7748;Muito Baixo
08000 - Transporte Terrestre e Logistica;49302;Ativa;Entidades empresariais;Sim;0,8766;0,8624;1,0000;0,5556;0,9814;1;0,9211;Alto
11007 - Igrejas e Associacoes;94120;Ativa;Entidades sem fins lucrativos;Sim;0,8171;1,0000;1,0000;0,5556;0,6474;0,9286;0,8244;Muito Baixo
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,8867;0,3717;0,7900;0,6667;0,8503;1;0,7762;Alto
11006 - Vigilancia, seguranca e investigacao - Servicos;80111;Ativa;Entidades empresariais;Sim;0,9371;0,6888;0,9267;0,5556;0,5609;1;0,7597;Alto
07002 - Varejistas;47539;Ativa;Entidades empresariais;Sim;0,9003;0,7920;0,8667;0,5556;0,9558;1;0,87;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;65413;Ativa;Entidades sem fins lucrativos;Sim;0,9155;0,9857;1,0000;0,5556;0,9448;1;0,9288;Muito Alto
10000 - Industria em Geral;84221;Ativa;Entidades empresariais;Sim;0,8861;0,9899;0,8833;0,4444;0,8113;0,8105;0,8236;Moderado
02002 - Farmacos;47717;Ativa;Entidades empresariais;Sim;0,8015;0,9966;0,9667;0,6667;0,902;1;0,9077;Moderado
11003 - Atividades profissionais, cientificas e tecnicas;69117;Ativa;Entidades empresariais;Sim;0,7810;1,0000;1,0000;0,5522;0,982;1;0,9279;Moderado
11008 - Servicos de Locacao;77110;Ativa;Entidades empresariais;Sim;0,9729;0,9987;1,0000;0,6667;0,6412;1;0,8562;Baixo
02004 - Fabricacao de Borracha;22218;Ativa;Entidades empresariais;Sim;0,9726;0,9855;1,0000;0,5556;0,8352;0,7868;0,8803;Alto
02004 - Fabricacao de Borracha;22226;Ativa;Entidades empresariais;Sim;0,9275;0,7319;1,0000;0,5556;0,6798;0,7855;0,7986;Alto
01002 - Planos de Saude;65502;Ativa;Entidades empresariais;Sim;0,8061;0,9993;1,0000;0,6667;0,9517;1;0,9327;Muito Alto
07004 - Calcados;15319;Ativa;Entidades empresariais;Sim;1,0000;0,8439;0,9900;0,5556;0,9344;0,7347;0,8878;Alto
06003 - Pecuaria, carnes, leites e derivados;01555;Ativa;Entidades empresariais;Sim;0,9260;0,9999;0,8000;0,6667;0,9859;0,894;0,8884;Alto
09001 - Educacao;85201;Ativa;Entidades empresariais;Sim;0,9895;0,9995;1,0000;0,5885;0,8815;1;0,9222;Baixo
01000 - Instituicoes Financeiras e de Seguros;65413;Ativa;Entidades sem fins lucrativos;Sim;0,8955;0,9999;1,0000;0,5131;0,9749;1;0,9333;Muito Baixo
03001 - Construcao - Edificios;41204;Ativa;Entidades empresariais;Sim;0,9872;0,9956;0,9998;0,6667;0,99;1;0,9618;Baixo
06001 - Producao e comercio agricola;01199;Ativa;Entidades empresariais;Sim;0,9742;0,4388;0,8429;0,4444;0,7755;0,8042;0,7436;Alto
09000 - Saude;94120;Ativa;Entidades sem fins lucrativos;Sim;0,8017;0,9796;1,0000;0,4828;0,6122;1;0,8097;Muito Baixo
03001 - Construcao - Edificios;41107;Ativa;Entidades empresariais;Sim;0,9712;0,8210;0,9667;0,4444;0,6165;1;0,7957;Moderado
11006 - Vigilancia, seguranca e investigacao - Servicos;81214;Ativa;Entidades empresariais;Sim;0,9469;0,6599;0,9121;0,5556;0,9448;1;0,8683;Muito Alto
